name,url,price,sku,description,attributes_json,image_paths,category
PRZEDTRENINGÓWKA BOMBA GRAPE DZIK®,https://wkdzik.pl/pl/p/PRZEDTRENINGOWKA-BOMBA-GRAPE-DZIK/3750,8.50,,,{},results\images\przedtreningówka-bomba-grape-dzik\19_8231cbf8.jpg;results\images\przedtreningówka-bomba-grape-dzik\23_213973d8.jpg,NAPOJE
Ubrania sportowe,https://wkdzik.pl/ubrania,8.50,,,{},results\images\ubrania-sportowe\1_8b760369.webp;results\images\ubrania-sportowe\2_aaa06a65.webp,NAPOJE
Odzież sportowa męska,https://wkdzik.pl/ubrania/meskie,8.50,,,{},results\images\odzież-sportowa-męska\1_8b760369.webp;results\images\odzież-sportowa-męska\2_aaa06a65.webp,NAPOJE
Koszulki sportowe męskie,https://wkdzik.pl/ubrania/meskie/koszulki,8.50,,,{},results\images\koszulki-sportowe-męskie\1_8b760369.webp;results\images\koszulki-sportowe-męskie\2_aaa06a65.webp,NAPOJE
Tank Topy męskie,https://wkdzik.pl/ubrania/meskie/tank-topy,8.50,,,{},results\images\tank-topy-męskie\1_8b760369.webp;results\images\tank-topy-męskie\2_aaa06a65.webp,NAPOJE
Bluzy sportowe męskie z kapturem,https://wkdzik.pl/ubrania/meskie/bluzy,8.50,,,{},results\images\bluzy-sportowe-męskie-z-kapturem\1_8b760369.webp;results\images\bluzy-sportowe-męskie-z-kapturem\2_aaa06a65.webp,NAPOJE
Spodnie dresowe męskie,https://wkdzik.pl/ubrania/meskie/spodnie,8.50,,,{},results\images\spodnie-dresowe-męskie\1_8b760369.webp;results\images\spodnie-dresowe-męskie\2_aaa06a65.webp,NAPOJE
Spodenki sportowe męskie,https://wkdzik.pl/ubrania/meskie/spodenki,8.50,,,{},results\images\spodenki-sportowe-męskie\1_8b760369.webp;results\images\spodenki-sportowe-męskie\2_aaa06a65.webp,NAPOJE
Czapki zimowe i z daszkiem,https://wkdzik.pl/ubrania/meskie/czapki,8.50,,,{},results\images\czapki-zimowe-i-z-daszkiem\1_8b760369.webp;results\images\czapki-zimowe-i-z-daszkiem\2_aaa06a65.webp,NAPOJE
Skarpety i stopki męskie,https://wkdzik.pl/ubrania/meskie/skarpetki,8.50,,,{},results\images\skarpety-i-stopki-męskie\1_8b760369.webp;results\images\skarpety-i-stopki-męskie\2_aaa06a65.webp,NAPOJE
Odzież sportowa damska,https://wkdzik.pl/ubrania/damskie,8.50,,,{},results\images\odzież-sportowa-damska\1_8b760369.webp;results\images\odzież-sportowa-damska\2_aaa06a65.webp,NAPOJE
Legginsy i spodnie sportowe,https://wkdzik.pl/ubrania/damskie/legginsy,8.50,,,{},results\images\legginsy-i-spodnie-sportowe\1_8b760369.webp;results\images\legginsy-i-spodnie-sportowe\2_aaa06a65.webp,NAPOJE
Bluzy damskie sportowe,https://wkdzik.pl/ubrania/damskie/bluzy,8.50,,,{},results\images\bluzy-damskie-sportowe\1_8b760369.webp;results\images\bluzy-damskie-sportowe\2_aaa06a65.webp,NAPOJE
Staniki i topy sportowe,https://wkdzik.pl/ubrania/damskie/staniki-sportowe,8.50,,,{},results\images\staniki-i-topy-sportowe\1_8b760369.webp;results\images\staniki-i-topy-sportowe\2_aaa06a65.webp,NAPOJE
Spodenki treningowe damskie,https://wkdzik.pl/ubrania/damskie/spodenki,8.50,,,{},results\images\spodenki-treningowe-damskie\1_8b760369.webp;results\images\spodenki-treningowe-damskie\2_aaa06a65.webp,NAPOJE
Kamizelki,https://wkdzik.pl/ubrania/damskie/kamizelki,8.50,,,{},results\images\kamizelki\1_8b760369.webp;results\images\kamizelki\2_aaa06a65.webp,NAPOJE
Czapki,https://wkdzik.pl/ubrania/damskie/czapki,8.50,,,{},results\images\czapki\1_8b760369.webp;results\images\czapki\2_aaa06a65.webp,NAPOJE
KURTKA REGULAR CZARNA DZIK® PRIMALOFT®,https://wkdzik.pl/kurtka-regular-czarna-dzik-primaloft,8.50,,,"{""ROZMIAR"": ""1"", ""S"": ""71"", ""M"": ""73"", ""L"": ""75"", ""XL"": ""77"", ""XXL"": ""79""}",results\images\kurtka-regular-czarna-dzik-primaloft\44_fca5b389.png;results\images\kurtka-regular-czarna-dzik-primaloft\19_3197011b.png,NAPOJE
BLUZA INTERLOCK OVERSIZE CZARNA DZIK®,https://wkdzik.pl/bluza-interlock-oversize-czarna-dzik,8.50,,,"{""Rozmiar"": ""1"", ""S"": ""63"", ""M"": ""65"", ""L"": ""67"", ""XL"": ""69"", ""XXL"": ""71""}",results\images\bluza-interlock-oversize-czarna-dzik\19_da94d7e5.png;results\images\bluza-interlock-oversize-czarna-dzik\28_3aa806b2.png,NAPOJE
KOSZULKA SLIM Z PERFORACJĄ SZARA DZIK®,https://wkdzik.pl/koszulka-slim-z-perforacja-szara-dzik,8.50,,,"{""Rozmiar"": ""1"", ""XS"": ""62,5"", ""S"": ""65"", ""M"": ""67,5"", ""L"": ""70"", ""XL"": ""72,5"", ""XXL"": ""75""}",results\images\koszulka-slim-z-perforacją-szara-dzik\19_53b222f6.jpg;results\images\koszulka-slim-z-perforacją-szara-dzik\24_df798d73.jpg,NAPOJE
Kolekcja DZIK® Pro,https://wkdzik.pl/ubrania/kolekcje/dzik-pro,8.50,,,{},results\images\kolekcja-dzik-pro\1_8b760369.webp;results\images\kolekcja-dzik-pro\2_aaa06a65.webp,NAPOJE
